name,newname
GlomusclonePa167_AY236315_1,seqqq151
GlomusclonePa150_AY236310_1,seqqq152
GlomusclonePa149_AY236309_1,seqqq153
GlomusclonePa137_AY236297_1,seqqq154
Glomussp_SP103_AY236322_1,seqqq155
Glomussp_SP102_AY236321_1,seqqq156
Glomussp_SP101_AY236320_1,seqqq157
GlomuscloneK7_15_AY394680_1,seqqq158
GlomusclonePa122_AY236286_1,seqqq159
GlomusclonePa121_AY236285_1,seqqq160
GlomuscloneBV_clone02a39_EF393604_1,seqqq161
GlomuscloneBV_clone02a13_EF393603_1,seqqq162
GlomuscloneBV_clone02a7_EF393602_1,seqqq163
GlomuscloneK7_10_AY394681_1,seqqq164
GlomuscloneK7_20_AY394679_1,seqqq165
GlomuscloneK11_12_AY394683_1,seqqq166
GlomuscloneK11_3_AY394682_1,seqqq167
G_intraradices_FM865586_1,seqqq168
G_intraradices_FM865575_1,seqqq169
G_intraradices_FM865587_1,seqqq170
G_intraradices_FM865583_1,seqqq171
G_intraradices_FM865582_1,seqqq172
G_intraradices_FM865581_1,seqqq173
G_intraradices_FM865579_1,seqqq174
G_intraradices_FM865574_1,seqqq175
G_intraradices_FM865572_1,seqqq176
G_intraradices_B72_47,seqqq177
G_intraradices_FM865546_1,seqqq178
Glomusintraradices_B72_3,seqqq179
G_intraradices_B72_28,seqqq180
G_intraradices_FM865580_1,seqqq181
Glomusintraradices_B72_9,seqqq182
G_intraradices__B22_9,seqqq183
Glomusintraradices_B72_1,seqqq184
G_intraradices_B72_31,seqqq185
G_intraradices_08_45_20,seqqq186
G_intraradices_FM865562_1,seqqq187
G_intraradices_FM865567_1,seqqq188
G_intraradices_FM865568_1,seqqq189
G_intraradices_FM865565_1,seqqq190
G_intraradices_FM865569_1,seqqq191
G_intraradices_FM865570_1,seqqq192
G_intraradices_FM865584_1,seqqq193
G_intraradices_FM865571_1,seqqq194
G_intraradices_FM865566_1,seqqq195
G_intraradices_FM865564_1,seqqq196
G_intraradices_FM865563_1,seqqq197
G_intraradices_FM865561_1,seqqq198
G_intraradices_FM865578_1,seqqq199
G_intraradices_FM865547_1,seqqq200
G_intraradices_FM865585_1,seqqq201
G_intraradices_FM865577_1,seqqq202
G_intraradices_FM865576_1,seqqq203
G_intraradices_FM865560_1,seqqq204
G_intraradices_FM865559_1,seqqq205
G_intraradices_FM865573_1,seqqq206
G_intraradices_FM865545_1,seqqq207
G_intraradices_FM865549_1,seqqq208
G_intraradices_FM865548_1,seqqq209
G_sp5_B22_13_G_sp5,seqqq210
GlomuscloneS1R2_11_DQ400257_1,seqqq211
GlomuscloneS2R2_32_DQ400282_1,seqqq212
GlomuscloneS2R2_12_DQ400279_1,seqqq213
Glomuscf_clarum_FM865540_1,seqqq214
Glomuscf_clarum_FM865539_1,seqqq215
Glomuscf_clarum_FM865538_1,seqqq216
Glomuscf_clarum_FM865537_1,seqqq217
Glomuscf_clarum_FM865544_1,seqqq218
Glomuscf_clarum_FM865543_1,seqqq219
Glomuscf_clarum_FM865542_1,seqqq220
Glomuscf_clarum_FM865541_1,seqqq221
Glomuscf_clarum_FM865536_1,seqqq222
GlomusclonePa106_AY236276_1,seqqq223
G_sp_N22_2,seqqq224
G_sp_N25_7,seqqq225
G_intraradices_FJ009599_1,seqqq226
G_intraradices_FJ009598_1,seqqq227
G_intraradices_FJ009602_1,seqqq228
G_intraradices_FJ009601_1,seqqq229
G_intraradices_FJ009600_1,seqqq230
G_intraradices_FJ009597_1,seqqq231
G_intraradices_FJ009594_1,seqqq232
G_intraradices_FJ009603_1,seqqq233
G_intraradices_FJ009593_1,seqqq234
G_sp22_n21_1,seqqq235
G_sp_Att1192_27_08_62_26,seqqq236
G_sp_Att690_23_08_62_47,seqqq237
G_sp_Att690_23_08_45_26,seqqq238
G_sp_Att690_23_08_62_38,seqqq239
G_sp_08_37_1,seqqq240
G_sp_Att690_23_08_62_9,seqqq241
G_sp5_B22_5__G_sp5,seqqq242
G_sp_N12_39,seqqq243
G_sp5_B21_9__G_sp5,seqqq244
G_sp5_B21_18__G_sp5,seqqq245
Glomussp_Att1485_12_FM865588_1,seqqq246
G_sp_08_62_14,seqqq247
G_sp5_B22_11__G_sp5,seqqq248
G_sp_Att690_08_62_4,seqqq249
Glomussp_Att1192_44_FM865552_1,seqqq250
G_irregulare_FJ009606_1,seqqq251
G_irregulare_FJ009614_1,seqqq252
Glomussp_Att1192_44_FM865550_1,seqqq253
Glomussp_Att1192_44_FM865558_1,seqqq254
Glomussp_Att1192_44_FM865555_1,seqqq255
Glomussp_Att1192_44_FM865551_1,seqqq256
G_irregulare_FJ009618_1,seqqq257
G_irregulare_FJ009615_1,seqqq258
G_irregulare_FJ009613_1,seqqq259
G_irregulare_FJ009612_1,seqqq260
G_irregulare_FJ009609_1,seqqq261
G_irregulare_FJ009607_1,seqqq262
G_irregulare_FJ009605_1,seqqq263
Glomussp_Att1192_44_FM865553_1,seqqq264
G_irregulare_FJ009617_1,seqqq265
G_irregulare_FJ009616_1,seqqq266
G_irregulare_FJ009611_1,seqqq267
G_irregulare_FJ009610_1,seqqq268
G_irregulare_FJ009608_1,seqqq269
Glomussp_Att1192_44_FM865557_1,seqqq270
Glomussp_Att1192_44_FM865556_1,seqqq271
Glomussp_Att1192_44_FM865554_1,seqqq272
G_intraradices_FJ009595_1,seqqq273
G_intraradices_FJ009592_1,seqqq274
GlomuscloneBV_clone28a6_EF393606_1,seqqq275
GlomuscloneBV_clone28a5_EF393605_1,seqqq276
G_sp_B25_3_G_sp_rp36orunculturedGlomus,seqqq277
G_intraradices__B26_22,seqqq278
G_sp_rp2_B25_4,seqqq279
G_sp3_B22_15__G_sp3,seqqq280
G_mosseae_B25_1,seqqq281
G_intraradices__B21_23,seqqq282
G_sp3_B21_20__G_sp3,seqqq283
G_sp1_B21_1_G_sp1,seqqq284
G_sp4_B21_7__G_sp4,seqqq285
G_sp_08_6_12,seqqq286
G_viscosum_08_48_10,seqqq287
G_sp_08_48_2,seqqq288
Glomus_sp_08_40_1,seqqq289
GlomuscloneS1R2_03_DQ400255_1,seqqq290
GlomuscloneS2R2_103_DQ400272_1,seqqq291
GlomuscloneS2R2_109_DQ400274_1,seqqq292
GlomuscloneS1R2_19_DQ400260_1,seqqq293
GlomuscloneS2R1_41_DQ400270_1,seqqq294
GlomuscloneS3R2_71_DQ400299_1,seqqq295
GlomuscloneS3R2_90_DQ400305_1,seqqq296
GlomuscloneS2R1_35_DQ400269_1,seqqq297
